date,account,classification,daily_net_pnl,trade_count,wins,losses,total_volume,avg_trade_size,long_trades,win_rate,buy_ratio,cum_pnl,running_max,drawdown
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,20724.15093739,190,105,84,643594.44,3387.3391578947367,84,0.5555555555555556,0.4421052631578947,20724.15093739,20724.15093739,0.0
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8563.834103,182,49,133,559278.3,3072.9576923076925,133,0.2692307692307692,0.7307692307692307,29287.985040389998,29287.985040389998,0.0
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,51.355987,9,2,7,16766.37,1862.9299999999998,7,0.2222222222222222,0.7777777777777778,51.355987,51.355987,0.0
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,21165.7301565536,525,169,356,4431556.89,8441.060742857142,297,0.3219047619047619,0.5657142857142857,21217.0861435536,21217.0861435536,0.0
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-2627.995171,1043,344,699,11509295.89,11034.799511025887,489,0.32981783317353786,0.46883988494726747,-2627.995171,-2627.995171,0.0
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-1954.3113580000002,3076,927,2149,23499792.29,7639.724411573472,1513,0.3013654096228869,0.49187256176853056,-4582.306529,-2627.995171,-1954.3113580000004
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1420943.704503,1268,719,546,2746705.92,2166.171861198738,148,0.5683794466403163,0.1167192429022082,1416361.397974,1416361.397974,0.0
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,549110.35144429,7380,2886,4491,13421173.84,1818.587241192412,3477,0.3912159414396096,0.4711382113821138,1965471.74941829,1965471.74941829,0.0
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,-6154.672893999999,4838,2070,2763,108877041.1,22504.555828854896,2368,0.42830540037243947,0.48945845390657294,-6154.672893999999,-6154.672893999999,0.0
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,931560.511926781,21190,9712,9081,68036326.2,3210.7751864086836,11195,0.5167881658064173,0.5283152430391694,931560.511926781,931560.511926781,0.0
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,11590.452613,267,41,226,727783.42,2725.7805992509366,49,0.15355805243445692,0.18352059925093633,11590.452613,11590.452613,0.0
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,321442.12328357,2211,821,1390,17917884.11,8103.972912709181,1054,0.3713251922207146,0.4767073722297603,333032.57589657,333032.57589657,0.0
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,681702.99527081,9883,5626,3757,26617723.76,2693.2837964180917,3092,0.599595012256208,0.3128604674693919,681702.99527081,681702.99527081,0.0
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,117455.65858563,26651,10185,16443,41437969.8,1554.8373344339798,12568,0.3824921135646688,0.4715770515177667,799158.65385644,799158.65385644,0.0
